id,image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms,lat,long,walkscore,built,listing_url,neighborhood
589,http://photos2.zillowstatic.com/p_f/ISdseuzt44n88x0000000000.jpg,200,Dellbrook,Ave,,San Francisco,CA,94131,4600,3,37.749404,-122.452802,,1956,http://www.zillow.com/homedetails/200-Dellbrook-Ave-San-Francisco-CA-94131/15132399_zpid/,Midtown Terrace
590,http://photos1.zillowstatic.com/p_f/IS9dcjsbt5b4bb1000000000.jpg,1959,Ofarrell,St,,San Francisco,CA,94115,2950,1,37.782489,-122.43676,,1890,http://www.zillow.com/homedetails/1959-Ofarrell-St-San-Francisco-CA-94115/15077353_zpid/,Western Addition
592,http://photos3.zillowstatic.com/p_f/IShf3sl6fmek5q0000000000.jpg,160,Orsi,Cir,,San Francisco,CA,94124,3500,3,37.727543,-122.39755,,1998,http://www.zillow.com/homedetails/160-Orsi-Cir-San-Francisco-CA-94124/15159149_zpid/,Bayview
594,"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.794390,-122.436400/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",230,Dolores,St,,San Francisco,CA,94103,3452,1,37.76563,-122.4272,,3000,http://www.zillow.com/homedetails/230-Dolores-St-San-Francisco-CA-94103/2103480466_zpid/,Mission
596,http://photos1.zillowstatic.com/p_f/ISlmbm1yj413sm0000000000.jpg,1922,Funston,Ave,,San Francisco,CA,94116,6995,5,37.752223,-122.469449,,1955,http://www.zillow.com/homedetails/1922-Funston-Ave-San-Francisco-CA-94116/15115085_zpid/,Golden Gate Heights
598,http://photos3.zillowstatic.com/p_f/IShnhc9ke90c581000000000.jpg,377,Hermann,St,,San Francisco,CA,94117,7000,3,37.77005,-122.4313,,1900,http://www.zillow.com/homedetails/377-Hermann-St-San-Francisco-CA-94117/2100784897_zpid/,Hayes Valley
26,http://photos2.zillowstatic.com/p_f/ISphi356cdfq7o1000000000.jpg,814,Mission,St FL 6,,San Francisco,CA,94103,5000,1,37.7844,-122.4049,,3000,http://www.zillow.com/homedetails/814-Mission-St-FL-6-San-Francisco-CA-94103/2100923744_zpid/,Yerba Buena
29,http://photos3.zillowstatic.com/p_f/ISxrzlpbtzzq0u1000000000.jpg,475,25th,Avenue,6,San Francisco,CA,94121,2450,1,37.78063,-122.4851,,3000,http://www.zillow.com/homedetails/475-25th-Avenue-6-San-Francisco-Ca-94121-San-Francisco-CA-94121/2100551922_zpid/,Central Richmond
31,http://photos2.zillowstatic.com/p_f/ISto6mam9xstyt1000000000.jpg,954,Geary,St,,San Francisco,CA,94109,1950,Studio,37.78624,-122.4191,,3000,http://www.zillow.com/homedetails/954-Geary-St-San-Francisco-CA-94109/2103241765_zpid/,Downtown
33,http://photos3.zillowstatic.com/p_f/IS91jonkojcgi41000000000.jpg,650,Turk,St,UNIT 302,San Francisco,CA,94102,3290,1,37.78215,-122.4198,,1978,http://www.zillow.com/homedetails/650-Turk-St-UNIT-302-San-Francisco-CA-94102/2101184480_zpid/,Van Ness - Civic Center
