image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms
http://photos3.zillowstatic.com/p_g/ISl2c9ktflfcxv1000000000.jpg,3675,Fillmore,St,APT 102,San Francisco,CA,94123,4550,1
http://photos2.zillowstatic.com/p_g/ISpp8ppvjr8tw50000000000.jpg,1818,Mason,St,,San Francisco,CA,94133,7900,3
http://photos3.zillowstatic.com/p_g/IStkv64x3v64f31000000000.jpg,1198,Jackson,St,,San Francisco,CA,94133,2400,Studio
http://photos1.zillowstatic.com/p_g/ISxbj6ipo0m3r70000000000.jpg,519,2,Ave,,San Francisco,CA,94121,7995,3
http://photos2.zillowstatic.com/p_g/IStshhxelygy3l0000000000.jpg,2595,Clay,St,APT 3,San Francisco,CA,94115,2800,Studio
http://photos2.zillowstatic.com/p_g/IS5qzqqflyqg0a1000000000.jpg,559,27th,St,APT 1,San Francisco,CA,94131,4300,2
http://photos2.zillowstatic.com/p_g/ISp9wkt413h7010000000000.jpg,520,6th,St,APT 11,San Francisco,CA,94103,3900,1
http://photos3.zillowstatic.com/p_g/ISxf24wyvxijkp1000000000.jpg,239,Castenada,Ave,,San Francisco,CA,94116,3900,2
http://photos3.zillowstatic.com/p_g/IStclhz9jg8gn60000000000.jpg,106,Edna,St,,San Francisco,CA,94112,5500,4
http://photos3.zillowstatic.com/p_g/ISto2jha95pp5d1000000000.jpg,132,Albion,St,,San Francisco,CA,94110,5200,3
http://photos1.zillowstatic.com/p_g/ISliwvngh4cpc70000000000.jpg,1066,Florida,St,,San Francisco,CA,94110,5265,2
http://photos1.zillowstatic.com/p_g/IS9luaw10cydd71000000000.jpg,420,Mission Bay,Blvd N,UNIT 1203,San Francisco,CA,94158,6500,2
http://photos2.zillowstatic.com/p_g/IShrcr4gkejbjm0000000000.jpg,2786,Filbert,St,,San Francisco,CA,94123,5100,2
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.750750,-122.429570/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",,N Point,St,,San Francisco,CA,94133,3395,Studio
http://photos2.zillowstatic.com/p_g/ISh36ebvy80m471000000000.jpg,1384,Mcallister,St,,San Francisco,CA,94115,3299,1
http://photos2.zillowstatic.com/p_g/IStg8qcl1ty9wi0000000000.jpg,403,Main,St,APT 112,San Francisco,CA,94105,4400,2
http://photos1.zillowstatic.com/p_g/ISlywub8jhyo1x0000000000.jpg,300,Judson,Ave,# B,San Francisco,CA,94112,2495,3
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.798486,-122.435786/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",153,Ashbury,St,,San Francisco,CA,94117,3195,1
http://photos3.zillowstatic.com/p_g/IShn9mjkyj9pt71000000000.jpg,1948,Stockton,St,,San Francisco,CA,94133,6500,2
http://photos3.zillowstatic.com/p_g/IS5qvbo89hxmhs0000000000.jpg,875,Fulton,St,APT 4,San Francisco,CA,94117,1995,1
http://photos1.zillowstatic.com/p_g/ISlai79n8xkxex1000000000.jpg,2642,Gough,St,,San Francisco,CA,94123,3495,1
http://photos3.zillowstatic.com/p_g/IStg00jysov3p51000000000.jpg,10,Cyril Magnin,St,UNIT 604,San Francisco,CA,94102,3390,1
http://photos3.zillowstatic.com/p_g/IS9la35chb1amt1000000000.jpg,640,Davis,St,,San Francisco,CA,94111,9500,3
http://photos3.zillowstatic.com/p_g/ISluxsj4ucbaij1000000000.jpg,233,Collingwood,St,,San Francisco,CA,94114,3600,2
http://photos3.zillowstatic.com/p_g/IS9hrlni49jr6h0000000000.jpg,2001,Mcallister,St,APT 222,San Francisco,CA,94118,3750,1
http://photos2.zillowstatic.com/p_g/ISts5cl4xytyzl0000000000.jpg,1809,Broa,way,APT 3,San Francisco,CA,94109,4000,2
http://photos1.zillowstatic.com/p_g/ISxn8ajwwfxf610000000000.jpg,4062,17th,St,# VISTA,San Francisco,CA,94114,7450,2
http://photos1.zillowstatic.com/p_g/IS9ppder61nuqu1000000000.jpg,149,Hartford,St,,San Francisco,CA,94114,7600,3
http://photos2.zillowstatic.com/p_g/IS5umfohy7xvuq1000000000.jpg,50,Lansing,St,UNIT 308,San Francisco,CA,94105,3475,1
http://photos2.zillowstatic.com/p_g/IS5e2p19c82x6h0000000000.jpg,320,Alabama,St,APT 9,San Francisco,CA,94110,6750,3
http://photos2.zillowstatic.com/p_g/ISd8bqq2ettebb1000000000.jpg,4147,Lawton,St,,San Francisco,CA,94122,2395,1
http://photos3.zillowstatic.com/p_g/IS9t87hljem9bg1000000000.jpg,460,2nd,St,,San Francisco,CA,94107,7350,2
