id,image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms,lat,long,walkscore,built,listing_url,neighborhood,crime_rate
77,http://photos1.zillowstatic.com/p_f/ISlqacg3kif6en0000000000.jpg,1266,Chestnut,St,,San Francisco,CA,94109,4700,1,37.80265,-122.4241,91,1950,http://www.zillow.com/homedetails/1266-Chestnut-St-San-Francisco-CA-94109/2101765759_zpid/,Russian Hill,B
78,http://photos2.zillowstatic.com/p_f/ISd0l030jshzs61000000000.jpg,246,2nd,St,,San Francisco,CA,94105,6500,2,37.78575,-122.3974,93,2000,http://www.zillow.com/homedetails/246-2nd-St-San-Francisco-CA-94105/2132900076_zpid/,Yerba Buena,B
79,http://photos2.zillowstatic.com/p_f/ISdwxfks2if9280000000000.jpg,631,Folsom,St,APT 11C,San Francisco,CA,94107,5300,2,37.784713,-122.396873,93,2009,http://www.zillow.com/homedetails/631-Folsom-St-APT-11C-San-Francisco-CA-94107/89240030_zpid/,Yerba Buena,B
81,http://photos3.zillowstatic.com/p_f/IS9hr9agcj38gh1000000000.jpg,3315,Anza,St,,San Francisco,CA,94121,5000,3,37.77797,-122.4839,92,3000,http://www.zillow.com/homedetails/3315-Anza-St-San-Francisco-CA-94121/2100601523_zpid/,Central Richmond,B
83,http://photos2.zillowstatic.com/p_f/ISdciicd7kix6k0000000000.jpg,2300,Broadway,St,,San Francisco,CA,94115,25000,3,37.794502,-122.435126,97,1988,http://www.zillow.com/homedetails/2300-Broadway-St-San-Francisco-CA-94115/15072582_zpid/,Pacific Heights,C
85,http://photos2.zillowstatic.com/p_f/IS5i9523ttb1cj0000000000.jpg,4220,26th,St,,San Francisco,CA,94131,2900,1,37.748292,-122.434576,94,1886,http://www.zillow.com/homedetails/4220-26th-St-San-Francisco-CA-94131/15181510_zpid/,Noe Valley,B
87,http://photos3.zillowstatic.com/p_f/IStoi7zo07uc2r1000000000.jpg,579,Burnett,Ave,,San Francisco,CA,94131,4199,2,37.75199,-122.4441,58,3000,http://www.zillow.com/homedetails/579-Burnett-Ave-San-Francisco-CA-94131/2103132972_zpid/,Twin Peaks,A
88,http://photos1.zillowstatic.com/p_f/IS91zsdk66t1qg1000000000.jpg,3317,Anza,St,,San Francisco,CA,94121,6000,4,37.77815,-122.4838,92,3000,http://www.zillow.com/homedetails/3317-Anza-St-San-Francisco-CA-94121/2100601560_zpid/,Central Richmond,A
90,http://photos1.zillowstatic.com/p_f/IS1z78778rnh3q0000000000.jpg,735-739,Wisconsin,St,,San Francisco,CA,94107,3250,1,37.75813,-122.3987,75,3000,http://www.zillow.com/homedetails/735-739-Wisconsin-St-San-Francisco-CA-94107/2100712488_zpid/,Potrero Hill,C
92,http://photos2.zillowstatic.com/p_f/IShf304ag80lsl1000000000.jpg,908,Steiner,St,# B,San Francisco,CA,94117,2995,1,37.77796,-122.433,92,3000,http://www.zillow.com/homedetails/908-Steiner-St-B-San-Francisco-CA-94117/2100481796_zpid/,Western Addition,C
94,http://photos3.zillowstatic.com/p_f/ISx7ozwyfjoqsd0000000000.jpg,53,Aquavista,Way,,San Francisco,CA,94131,4500,3,37.752789,-122.4495,33,1956,http://www.zillow.com/homedetails/53-Aquavista-Way-San-Francisco-CA-94131/15131418_zpid/,Midtown Terrace,A
96,http://photos2.zillowstatic.com/p_f/IS1rx6twlmtxof0000000000.jpg,37,Santa Paula,Ave,,San Francisco,CA,94127,10995,3,37.739243,-122.463025,86,1930,http://www.zillow.com/homedetails/37-Santa-Paula-Ave-San-Francisco-CA-94127/15136809_zpid/,St. Francis Wood,B
367,http://photos2.zillowstatic.com/p_f/IS17arx44qxfvy0000000000.jpg,1737,Jackson,St,APT 304,San Francisco,CA,94109,2695,1,37.79356,-122.4238,94,3000,http://www.zillow.com/homedetails/1737-Jackson-St-APT-304-San-Francisco-CA-94109/2120162378_zpid/,Pacific Heights,B
98,http://photos3.zillowstatic.com/p_f/ISl2sdifk00p3f1000000000.jpg,530,Noe,St,,San Francisco,CA,94114,4900,1,37.7605,-122.433,99,2015,http://www.zillow.com/homedetails/530-Noe-St-San-Francisco-CA-94114/2101885247_zpid/,Eureka Valley - Dolores Heights - Castro,C
52,http://photos1.zillowstatic.com/p_f/ISd8zgnkiiy6tq1000000000.jpg,474,27th,Ave,APT 1,San Francisco,CA,94121,2595,1,37.78056,-122.4866,94,3000,http://www.zillow.com/homedetails/474-27th-Ave-APT-1-San-Francisco-CA-94121/2101655077_zpid/,Central Richmond,B
102,http://photos3.zillowstatic.com/p_f/IStkv64x3v64f31000000000.jpg,1198,Jackson,St,,San Francisco,CA,94133,2400,Studio,37.79506,-122.4147,96,1915,http://www.zillow.com/homedetails/1198-Jackson-St-San-Francisco-CA-94133/2101117225_zpid/,Nob Hill,B
104,http://photos2.zillowstatic.com/p_f/IStshhxelygy3l0000000000.jpg,2595,Clay,St,APT 3,San Francisco,CA,94115,2800,Studio,37.790409,-122.435501,97,1924,http://www.zillow.com/homedetails/2595-Clay-St-APT-3-San-Francisco-CA-94115/15074512_zpid/,Pacific Heights,B
106,http://photos2.zillowstatic.com/p_f/ISp9wkt413h7010000000000.jpg,520,6th,St,APT 11,San Francisco,CA,94103,3900,1,37.77546,-122.4024,93,3000,http://www.zillow.com/homedetails/520-6th-St-APT-11-San-Francisco-CA-94103/2111081814_zpid/,South of Market,D
108,http://photos3.zillowstatic.com/p_f/IStclhz9jg8gn60000000000.jpg,106,Edna,St,,San Francisco,CA,94112,5500,4,37.727663,-122.446277,75,1919,http://www.zillow.com/homedetails/106-Edna-St-San-Francisco-CA-94112/15140895_zpid/,Sunnyside,B
109,http://photos3.zillowstatic.com/p_f/ISto2jha95pp5d1000000000.jpg,132,Albion,St,,San Francisco,CA,94110,5200,3,37.7642,-122.423,99,1908,http://www.zillow.com/homedetails/132-Albion-St-San-Francisco-CA-94110/2107273191_zpid/,Mission,D
111,http://photos1.zillowstatic.com/p_f/IS9luaw10cydd71000000000.jpg,420,Mission Bay,Blvd N,UNIT 1203,San Francisco,CA,94158,6500,2,37.771595,-122.388587,73,2012,http://www.zillow.com/homedetails/420-Mission-Bay-Blvd-N-UNIT-1203-San-Francisco-CA-94158/115828712_zpid/,Mission Bay,B
114,http://photos2.zillowstatic.com/p_f/ISh36ebvy80m471000000000.jpg,1384,Mcallister,St,,San Francisco,CA,94115,3299,1,37.77831,-122.4347,94,3000,http://www.zillow.com/homedetails/1384-Mcallister-St-San-Francisco-CA-94115/2100536213_zpid/,Alamo Square,C
116,http://photos1.zillowstatic.com/p_f/ISlywub8jhyo1x0000000000.jpg,300,Judson,Ave,# B,San Francisco,CA,94112,2495,3,37.72856,-122.449,75,3000,http://www.zillow.com/homedetails/300-Judson-Ave-B-San-Francisco-CA-94112/2100482278_zpid/,Sunnyside,B
118,http://photos3.zillowstatic.com/p_f/IShn9mjkyj9pt71000000000.jpg,1948,Stockton,St,,San Francisco,CA,94133,6500,2,37.80391,-122.4098,97,3000,http://www.zillow.com/homedetails/1948-Stockton-St-San-Francisco-CA-94133/2102276350_zpid/,Telegraph Hill,B
119,http://photos3.zillowstatic.com/p_f/IS5qvbo89hxmhs0000000000.jpg,875,Fulton,St,APT 4,San Francisco,CA,94117,1995,1,37.7775,-122.4309,93,3000,http://www.zillow.com/homedetails/875-Fulton-St-APT-4-San-Francisco-CA-94117/2100784654_zpid/,Alamo Square,C
121,http://photos3.zillowstatic.com/p_f/IStg00jysov3p51000000000.jpg,10,Cyril Magnin,St,UNIT 604,San Francisco,CA,94102,3390,1,37.78442,-122.4085,99,3000,http://www.zillow.com/homedetails/10-Cyril-Magnin-St-UNIT-604-San-Francisco-CA-94102/2102682182_zpid/,Downtown,D
126,http://photos1.zillowstatic.com/p_f/ISxn8ajwwfxf610000000000.jpg,4062,17th,St,# VISTA,San Francisco,CA,94114,7450,2,37.76245,-122.4365,98,1910,http://www.zillow.com/homedetails/4062-17th-St-VISTA-San-Francisco-CA-94114/2100685221_zpid/,Corona Heights,C
128,http://photos2.zillowstatic.com/p_f/IS5umfohy7xvuq1000000000.jpg,50,Lansing,St,UNIT 308,San Francisco,CA,94105,3475,1,37.786148,-122.394302,90,2006,http://www.zillow.com/homedetails/50-Lansing-St-UNIT-308-San-Francisco-CA-94105/71713715_zpid/,South Beach,A
130,http://photos2.zillowstatic.com/p_f/ISd8bqq2ettebb1000000000.jpg,4147,Lawton,St,,San Francisco,CA,94122,2395,1,37.75657,-122.5073,74,3000,http://www.zillow.com/homedetails/4147-Lawton-St-San-Francisco-CA-94122/2100869217_zpid/,Outer Sunset,A
132,http://photos2.zillowstatic.com/p_f/IS1bp9dye73cv20000000000.jpg,1450,Cole,St,,San Francisco,CA,94117,4100,1,37.7612,-122.449,77,3000,http://www.zillow.com/homedetails/1450-Cole-St-San-Francisco-CA-94117/2109162618_zpid/,Parnassus - Ashbury,A
134,http://photos1.zillowstatic.com/p_f/ISpl5sqajovrek1000000000.jpg,407,Washington,Blvd,# A,San Francisco,CA,94129,5745,4,37.79546,-122.4674,15,3000,http://www.zillow.com/homedetails/407-Washington-Blvd-A-San-Francisco-CA-94129/2105577268_zpid/,Presidio,A
136,http://photos2.zillowstatic.com/p_f/IS5y1i7ng0i4160000000000.jpg,270,Linden,St,APT 301,San Francisco,CA,94102,8000,3,37.7767,-122.4224,99,3000,http://www.zillow.com/homedetails/270-Linden-St-APT-301-San-Francisco-CA-94102/2134048454_zpid/,Van Ness - Civic Center,B
137,http://photos1.zillowstatic.com/p_f/ISph62gsz54ysf0000000000.jpg,1200,Treat,Ave,,San Francisco,CA,94110,3495,1,37.7508,-122.4131,95,3000,http://www.zillow.com/homedetails/1200-Treat-Ave-San-Francisco-CA-94110/2100532668_zpid/,Mission,C
139,http://photos3.zillowstatic.com/p_f/IS5azjw1gu66l70000000000.jpg,2477,California,St,,San Francisco,CA,94115,4800,1,37.78872,-122.435,98,1877,http://www.zillow.com/homedetails/2477-California-St-San-Francisco-CA-94115/2100820373_zpid/,Lower Pacific Heights,B
141,http://photos3.zillowstatic.com/p_f/IStou0a6g7ayt20000000000.jpg,300,Berry,St,,San Francisco,CA,94158,3800,2,37.773982,-122.395691,84,2008,http://www.zillow.com/homedetails/300-Berry-St-San-Francisco-CA-94158/2116368523_zpid/,South of Market,C
142,http://photos1.zillowstatic.com/p_f/ISxzht5idck0as0000000000.jpg,3664,19th,St,,San Francisco,CA,94110,5050,2,37.76011,-122.4251,95,3000,http://www.zillow.com/homedetails/3664-19th-St-San-Francisco-CA-94110/2132395390_zpid/,Mission,C
144,http://photos3.zillowstatic.com/p_f/IShbgnr4c6ew660000000000.jpg,701,Hampshire,St,APT 202,San Francisco,CA,94110,3300,1,37.7604,-122.4079,92,1962,http://www.zillow.com/homedetails/701-Hampshire-St-APT-202-San-Francisco-CA-94110/2100531518_zpid/,Mission,C
434,http://photos1.zillowstatic.com/p_f/IS95eneyglejiz0000000000.jpg,499,33rd,Ave,,San Francisco,CA,94121,3750,1,37.77999,-122.4937,90,2004,http://www.zillow.com/homedetails/499-33rd-Ave-San-Francisco-CA-94121/2100835385_zpid/,Outer Richmond,B
